Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,9167.97,9239.6,9121.32,9152.6,9152.6,37686426
2023-08-29,9171.07,9195.33,9079.0,9141.43,9141.43,114226714
2023-08-30,9232.6,9269.26,9153.75,9209.56,9209.56,35340110
2023-08-31,9380.86,9439.7,9355.72,9367.96,9367.96,112307454
2023-09-01,9344.7,9360.38,9327.44,9346.66,9346.66,26240327
2023-09-04,9278.95,9388.67,9272.3,9325.42,9325.42,49915838
2023-09-05,9503.91,9526.08,9407.38,9491.68,9491.68,76620918
2023-09-06,9580.98,9582.69,9555.45,9575.02,9575.02,99966125
2023-09-07,9536.32,9613.33,9479.51,9528.55,9528.55,49839934
2023-09-08,9551.74,9644.31,9487.14,9588.47,9588.47,102992103
2023-09-11,9511.63,9577.63,9439.23,9542.58,9542.58,105346315
2023-09-12,9526.67,9565.26,9443.83,9496.66,9496.66,38235532
2023-09-13,9523.7,9534.38,9493.74,9524.83,9524.83,105313277
2023-09-14,9348.34,9402.03,9257.72,9329.26,9329.26,50436906
2023-09-15,9157.44,9203.95,9132.13,9156.66,9156.66,33022270
2023-09-18,9103.75,9106.55,9025.22,9102.93,9102.93,43916796
2023-09-19,9030.13,9049.49,8954.51,9004.78,9004.78,41709264
2023-09-20,9024.68,9070.0,8968.92,9038.67,9038.67,51478135
2023-09-21,8954.11,8962.01,8944.55,8951.53,8951.53,60322851
2023-09-22,8803.95,8832.36,8779.82,8816.18,8816.18,40638676
2023-09-25,8950.47,8999.24,8943.31,8962.16,8962.16,26918863
2023-09-26,8934.31,8946.46,8911.9,8942.61,8942.61,44693539
2023-09-27,8957.9,9005.93,8901.92,8951.94,8951.94,73938971
2023-09-28,8802.72,8944.14,8738.97,8815.38,8815.38,102932341
2023-09-29,8798.4,8817.61,8749.61,8765.38,8765.38,26257838
2023-10-02,8755.15,8818.39,8697.1,8778.71,8778.71,46099300
2023-10-03,8666.01,8773.31,8648.09,8670.87,8670.87,110301341
2023-10-04,8697.9,8753.36,8686.58,8709.39,8709.39,103744525
2023-10-05,8692.2,8719.11,8612.93,8654.63,8654.63,30601417
2023-10-06,8634.58,8723.41,8588.2,8629.49,8629.49,48116038
2023-10-09,8601.68,8602.58,8560.4,8575.14,8575.14,106087660
2023-10-10,8715.26,8786.14,8713.14,8754.28,8754.28,59028092
2023-10-11,8762.62,8770.63,8754.17,8755.6,8755.6,39787044
2023-10-12,8680.02,8739.69,8624.09,8656.92,8656.92,57706524
2023-10-13,8740.38,8768.61,8728.16,8738.22,8738.22,114064834
2023-10-16,8651.81,8686.39,8584.39,8624.25,8624.25,87178382
2023-10-17,8633.26,8667.55,8594.83,8646.68,8646.68,104062435
2023-10-18,8500.61,8541.13,8421.0,8464.82,8464.82,47082158
2023-10-19,8402.1,8407.25,8267.52,8344.55,8344.55,112394931
2023-10-20,8356.04,8433.1,8317.21,8365.15,8365.15,41978898
2023-10-23,8424.63,8449.54,8361.59,8435.91,8435.91,60784489
2023-10-24,8491.22,8501.94,8426.88,8454.36,8454.36,110573844
2023-10-25,8486.17,8498.55,8442.62,8446.15,8446.15,85034404
2023-10-26,8407.53,8486.56,8346.6,8420.74,8420.74,63640858
2023-10-27,8276.94,8323.98,8238.79,8287.38,8287.38,39553590
2023-10-30,8217.54,8227.69,8176.29,8224.49,8224.49,89427484
2023-10-31,8152.36,8192.76,8143.91,8185.38,8185.38,85091864
2023-11-01,8260.77,8415.85,8257.9,8283.6,8283.6,98058309
2023-11-02,8292.41,8329.89,8262.48,8317.46,8317.46,32063550
2023-11-03,8141.36,8190.83,8134.17,8160.16,8160.16,94409123
2023-11-06,8190.91,8209.22,8168.52,8191.76,8191.76,26295425
2023-11-07,8165.31,8212.2,8148.5,8159.58,8159.58,29472917
2023-11-08,8139.16,8143.77,8033.69,8101.48,8101.48,22429151
2023-11-09,8134.18,8217.29,8079.67,8158.62,8158.62,84617617
2023-11-10,8278.52,8316.57,8200.52,8254.15,8254.15,83808437
2023-11-13,8336.29,8369.51,8301.7,8341.64,8341.64,34700387
2023-11-14,8266.25,8344.91,8232.71,8267.47,8267.47,115943709
2023-11-15,8258.56,8303.15,8194.55,8241.87,8241.87,92630316
2023-11-16,8246.57,8292.95,8212.81,8274.44,8274.44,61505238
2023-11-17,8375.82,8429.47,8301.89,8366.22,8366.22,112776481
2023-11-20,8328.89,8331.72,8278.01,8324.74,8324.74,45492108
2023-11-21,8322.52,8358.01,8272.12,8310.25,8310.25,90886205
2023-11-22,8219.31,8239.23,8170.4,8212.19,8212.19,51278965
2023-11-23,8166.99,8201.55,8096.26,8107.27,8107.27,62211548
2023-11-24,8166.86,8208.84,8144.34,8182.51,8182.51,24585315
2023-11-27,8294.75,8350.77,8280.63,8307.99,8307.99,67614485
2023-11-28,8288.38,8317.8,8272.19,8303.9,8303.9,108862643
2023-11-29,8384.6,8415.54,8328.99,8398.59,8398.59,88879267
2023-11-30,8418.47,8474.88,8374.39,8434.6,8434.6,68291558
2023-12-01,8407.35,8425.16,8328.48,8377.47,8377.47,94677234
2023-12-04,8449.22,8536.35,8403.71,8413.36,8413.36,41706642
2023-12-05,8544.83,8605.17,8542.97,8559.48,8559.48,119235365
2023-12-06,8537.31,8559.71,8471.95,8558.68,8558.68,113551173
2023-12-07,8722.19,8783.78,8687.47,8709.87,8709.87,20506995
2023-12-08,8450.97,8468.37,8426.8,8465.0,8465.0,89294318
2023-12-11,8560.66,8580.03,8541.78,8544.44,8544.44,59816526
2023-12-12,8560.4,8605.87,8507.09,8555.19,8555.19,78259896
2023-12-13,8490.87,8547.92,8476.69,8529.66,8529.66,89181587
2023-12-14,8580.48,8588.51,8516.72,8540.83,8540.83,92336392
2023-12-15,8403.67,8445.09,8316.02,8358.63,8358.63,81555999
2023-12-18,8325.63,8390.48,8324.65,8340.96,8340.96,70897283
2023-12-19,8366.56,8484.76,8359.27,8376.31,8376.31,70859057
2023-12-20,8523.45,8548.15,8506.55,8516.14,8516.14,114455633
2023-12-21,8478.77,8492.58,8454.62,8470.27,8470.27,80321284
2023-12-22,8414.39,8422.57,8392.28,8397.8,8397.8,20287635
2023-12-25,8404.46,8419.3,8319.58,8354.08,8354.08,20583510
2023-12-26,8436.68,8455.44,8418.25,8441.16,8441.16,102467453
2023-12-27,8453.99,8486.8,8386.08,8474.28,8474.28,36760394
2023-12-28,8392.7,8434.67,8319.28,8427.57,8427.57,91831204
2023-12-29,8459.24,8533.68,8400.81,8477.83,8477.83,103853589
2024-01-01,8488.59,8532.16,8433.74,8489.43,8489.43,84513977
2024-01-02,8629.15,8678.34,8553.35,8582.95,8582.95,35845187
2024-01-03,8506.25,8575.58,8484.85,8519.47,8519.47,108665052
2024-01-04,8497.07,8502.09,8480.18,8491.37,8491.37,110221867
2024-01-05,8456.94,8547.09,8444.5,8457.36,8457.36,100443169
2024-01-08,8354.48,8379.87,8315.04,8324.8,8324.8,50186120
2024-01-09,8417.8,8472.39,8321.72,8354.46,8354.46,39838558
2024-01-10,8367.65,8381.96,8338.76,8381.0,8381.0,104486278
2024-01-11,8371.68,8425.88,8333.33,8383.99,8383.99,56635794
2024-01-12,8391.09,8412.27,8330.1,8364.89,8364.89,75026153
2024-01-15,8254.99,8289.69,8235.37,8238.14,8238.14,73979613
2024-01-16,8248.01,8270.56,8173.21,8202.57,8202.57,54595998
2024-01-17,8188.47,8198.26,8146.28,8174.15,8174.15,33627775
2024-01-18,8096.03,8119.63,8035.83,8104.76,8104.76,70147490
2024-01-19,8107.17,8123.05,8069.35,8092.83,8092.83,85743288
2024-01-22,8158.36,8195.99,8121.58,8131.31,8131.31,50418772
2024-01-23,8324.72,8391.95,8283.53,8304.28,8304.28,115999164
2024-01-24,8335.4,8348.83,8303.09,8322.74,8322.74,75413150
2024-01-25,8375.57,8426.54,8345.68,8348.85,8348.85,55173714
2024-01-26,8373.79,8437.49,8313.53,8344.52,8344.52,90542942
2024-01-29,8206.58,8247.55,8152.99,8172.69,8172.69,97332767
2024-01-30,8188.67,8206.34,8122.19,8172.76,8172.76,41219187
2024-01-31,8176.53,8197.15,8141.0,8180.63,8180.63,58405257
2024-02-01,8411.55,8412.56,8370.54,8407.84,8407.84,111209857
2024-02-02,8422.97,8461.03,8360.56,8392.59,8392.59,96384571
2024-02-05,8402.36,8436.66,8400.76,8423.0,8423.0,59149527
2024-02-06,8431.63,8481.33,8393.54,8422.31,8422.31,27438096
2024-02-07,8307.41,8366.62,8298.72,8317.23,8317.23,23053407
2024-02-08,8425.7,8445.27,8379.77,8424.97,8424.97,49311119
2024-02-09,8530.08,8538.66,8397.06,8497.49,8497.49,105303311
2024-02-12,8579.24,8591.4,8540.63,8574.33,8574.33,80251437
2024-02-13,8492.71,8503.71,8432.9,8491.53,8491.53,26818922
2024-02-14,8590.97,8651.47,8577.92,8626.17,8626.17,66270592
2024-02-15,8515.74,8535.96,8466.06,8496.72,8496.72,37929098
2024-02-16,8570.87,8608.21,8544.43,8554.31,8554.31,44895828
2024-02-19,8822.44,8881.82,8701.86,8765.56,8765.56,60553798
2024-02-20,8665.16,8678.65,8607.16,8673.17,8673.17,89580185
2024-02-21,8627.56,8711.21,8592.02,8621.9,8621.9,45256241
2024-02-22,8640.4,8683.62,8607.79,8633.94,8633.94,35393675
2024-02-23,8629.48,8658.72,8515.0,8588.83,8588.83,58177374
2024-02-26,8443.69,8467.81,8359.57,8446.11,8446.11,29449168
2024-02-27,8462.09,8469.69,8422.61,8455.02,8455.02,84052448
2024-02-28,8374.54,8389.22,8336.33,8359.3,8359.3,119698011
2024-02-29,8410.19,8430.76,8369.35,8405.48,8405.48,52250847
2024-03-01,8312.25,8349.81,8296.16,8323.4,8323.4,75050560
2024-03-04,8473.99,8521.01,8467.14,8469.06,8469.06,118004955
2024-03-05,8425.98,8443.24,8397.86,8398.93,8398.93,85985129
2024-03-06,8345.95,8381.83,8265.85,8371.73,8371.73,63866822
2024-03-07,8452.89,8481.32,8448.94,8449.52,8449.52,32998017
2024-03-08,8320.88,8417.6,8292.18,8338.39,8338.39,57451369
2024-03-11,8391.77,8397.33,8341.17,8361.79,8361.79,113683479
2024-03-12,8446.66,8526.78,8385.69,8485.43,8485.43,69987331
2024-03-13,8325.23,8385.37,8272.92,8339.21,8339.21,59052395
2024-03-14,8368.13,8373.17,8324.69,8358.67,8358.67,24102553
2024-03-15,8424.5,8516.02,8373.42,8385.12,8385.12,48266442
2024-03-18,8458.41,8495.92,8446.58,8460.08,8460.08,64674343
2024-03-19,8334.35,8370.6,8301.41,8348.25,8348.25,95543722
2024-03-20,8276.78,8280.53,8216.34,8230.34,8230.34,33474284
2024-03-21,8244.24,8293.95,8220.72,8280.21,8280.21,63293890
2024-03-22,8254.98,8317.71,8215.02,8309.8,8309.8,70806795
2024-03-25,8346.23,8375.83,8321.42,8335.22,8335.22,106903273
2024-03-26,8356.96,8387.79,8331.37,8369.56,8369.56,82606106
2024-03-27,8284.22,8331.0,8239.27,8309.68,8309.68,22112368
2024-03-28,8351.15,8361.98,8299.04,8333.44,8333.44,47609269
2024-03-29,8368.97,8399.89,8239.54,8362.85,8362.85,60373185
2024-04-01,8285.84,8325.42,8234.28,8299.89,8299.89,87985200
2024-04-02,8441.98,8514.17,8384.95,8474.53,8474.53,43213953
2024-04-03,8543.68,8590.07,8465.03,8521.37,8521.37,75229755
2024-04-04,8429.37,8451.96,8392.69,8412.96,8412.96,25782197
2024-04-05,8473.96,8510.73,8450.77,8476.48,8476.48,117978397
2024-04-08,8435.07,8450.56,8365.58,8388.6,8388.6,33317715
2024-04-09,8436.91,8541.88,8426.16,8464.08,8464.08,99007515
2024-04-10,8535.97,8584.8,8530.62,8575.22,8575.22,99806232
2024-04-11,8483.06,8515.55,8469.15,8500.7,8500.7,98967903
2024-04-12,8592.67,8594.68,8588.98,8593.84,8593.84,52308604
2024-04-15,8641.85,8654.95,8539.72,8635.54,8635.54,40849083
2024-04-16,8710.29,8751.46,8700.28,8716.6,8716.6,43888169
